16209178Miller    Ava                      2115357311117Robson St, Vancouver, BC, V6B 2B7          
16125251Moore     Sarah                    1114434370958Maisonneuve West, Montreal, QC, H3G 1M8    
22103771Jackson   Sarah                    2165344330857King St W, Hamilton, ON, L8P 1B1           
19163445Harris    Emily                    1191363638290King St W, Hamilton, ON, L8P 1B1           
19091828Miller    Sophia                   1177369593635Maisonneuve West, Montreal, QC, H3G 1M8    
30667876Williams  Sophia                   2199355081262Robson St, Vancouver, BC, V6B 2B7          
21404248Brown     Jessica                  1221382228137Maisonneuve West, Montreal, QC, H3G 1M8    
22711321Martinez  Joseph                   2221390285759University Ave, Toronto, ON, M5J 2H7       
26741519Robinson  Olivia                   1112436313735Maisonneuve West, Montreal, QC, H3G 1M8    
26741519Martinez  Olivia                   2161431530681Robson St, Vancouver, BC, V6B 2B7          
22997446Miller    Daniel                   1158411589316Maisonneuve West, Montreal, QC, H3G 1M8    
31167537Jones     Isabella                 2153405249556Robson St, Vancouver, BC, V6B 2B7          
19163445Davis     Michael                  1193379912581Robson St, Vancouver, BC, V6B 2B7          
13487712Smith     Jacob                    1131338046132Maisonneuve West, Montreal, QC, H3G 1M8    
14949174Moore     Olivia                   1144341476491Maisonneuve West, Montreal, QC, H3G 1M8    
19130416Williams  Emily                    1205434227814Robson St, Vancouver, BC, V6B 2B7          
11573619White     Joshua                   1131336279470University Ave, Toronto, ON, M5J 2H7       
22997446Martin    Mia                      1137399658659King St W, Hamilton, ON, L8P 1B1           
14798853Clark     Jessica                  1203338613439Maisonneuve West, Montreal, QC, H3G 1M8    
22711321Martinez  Michael                  2213365619328King St W, Hamilton, ON, L8P 1B1           
14706489Moore     Jessica                  2113388803274Maisonneuve West, Montreal, QC, H3G 1M8    
13502127Clark     Matthew                  2124410972134King St W, Hamilton, ON, L8P 1B1           
13487712Brown     Sarah                    2188344037330Maisonneuve West, Montreal, QC, H3G 1M8    
19419242Harris    John                     2218364394156University Ave, Toronto, ON, M5J 2H7       
31034624Davis     Jessica                  1163374415847Robson St, Vancouver, BC, V6B 2B7          
16209178Miller    Joshua                   1126422167995University Ave, Toronto, ON, M5J 2H7       
23597522Clark     Olivia                   2142364584712University Ave, Toronto, ON, M5J 2H7       
12923730Wilson    Emily                    1187388999329Maisonneuve West, Montreal, QC, H3G 1M8    
30020429Garcia    Ava                      2159346895321King St W, Hamilton, ON, L8P 1B1           
28189648Johnson   Isabella                 1146372352463University Ave, Toronto, ON, M5J 2H7       
15912024Jones     Sarah                    1217423030189University Ave, Toronto, ON, M5J 2H7       
14949174Jackson   David                    2195398893527University Ave, Toronto, ON, M5J 2H7       
29473895Martin    Sarah                    1182397663503King St W, Hamilton, ON, L8P 1B1           
24568324Martin    Sarah                    2205378559178Robson St, Vancouver, BC, V6B 2B7          
29230657Taylor    Sarah                    2127378423666Maisonneuve West, Montreal, QC, H3G 1M8    
31690648White     Michael                  2213376503798Robson St, Vancouver, BC, V6B 2B7          
14798853Taylor    Ashley                   2221423124567Robson St, Vancouver, BC, V6B 2B7          
32341741Johnson   Daniel                   2176397280370University Ave, Toronto, ON, M5J 2H7       
22456237Thompson  William                  1134428229588Robson St, Vancouver, BC, V6B 2B7          
24408903Harris    Jessica                  1194435224662University Ave, Toronto, ON, M5J 2H7       
31690648Taylor    Isabella                 2186403637833University Ave, Toronto, ON, M5J 2H7       
13420620Williams  Sarah                    2126355523376King St W, Hamilton, ON, L8P 1B1           
24948299Wilson    Daniel                   2114432045561King St W, Hamilton, ON, L8P 1B1           
13502127Jones     Daniel                   1179433475378Robson St, Vancouver, BC, V6B 2B7          
26322897Martinez  Mia                      2208442807847University Ave, Toronto, ON, M5J 2H7       
22222835Robinson  Sophia                   1116347394191University Ave, Toronto, ON, M5J 2H7       
